case,event_layer,participant_scale,duration_scale,condition_cell,event_outcome,exit_layer,step_reached,working_note,evidence,related_chapter,status
英国大宪章->光荣革命,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3->格1,点歪了但转向成功,真实,第5步跑通,事件花了约500年从王权认同转向宪政认同。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
美国国家认同危机★,nation,P5 national_population,T3/T4/T5 yearly_to_century,格1内退化,点着了，在退化,真实,第5步跑通后退化,冷战时期认同建在反共锚点上，锚点消失后裂缝暴露。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
罗斯福新政,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格3,点对了,真实,第5步跑通,应约者立刻获益，选举是退出权的制度化表达。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
中国土地改革,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格4,点对了,事实,第5步跑通,认同建在最具体的应约者利益上。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
韩国新村运动,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格4,点对了,事实,第5步跑通,威权体制提供稳定期，温室型但认同是真的。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
北欧福利国家,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格1,点对了,真实,第5步跑通,可能依赖人口少、同质性强的前提。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
美国禁酒令,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格1内退化,点歪了->无人应约,真实,第3步未满足,提议者把认同建在自身道德标准上，应约者不买账。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
中国计划生育,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格2,框架衰减,象征,第3步未满足,推方案的极端形态，没有退出权的应约是服从。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,working_hypothesis
英国NHS,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格1内退化,点歪了但没崩,真实,第5步跑通但认同退化,认同建在免费而非共担上，免费是外部锚定。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
洋务运动,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格4,点不足+点歪了,象征,第2步部分满足,只改硬件不改软件。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
坦志麦特改革,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格4->格4内退化,点反了,象征,第3步未满足,改了但方向错，旧认同拆了，新认同没建。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
亚历山大二世废奴,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格4->格3,点不足,事实,第3步部分满足,农奴自由了但没有土地，事件半活半死。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
南非转型,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格1,点不足,真实,第4步部分跑通,政治上点对，经济上没点着。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
欧盟,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格1内退化,点不足,真实,第4步部分跑通,认同建在经济利益上，危机来时应约者犹豫。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
庇隆主义,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格2,点歪了，建在个人权威,事实,第4步跑通但脆弱,人走火灭。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
王安石变法,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格3,点不足,象征,第3步未满足,方案有了但执行走样，应约者消极。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
凯末尔改革,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格4->格4内退化,点不足,事实,第4步部分跑通,强人推方案，强人死后认同退化。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
张居正改革★,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格3,点歪了，建在个人权威,象征,第4步跑通但脆弱,与庇隆主义同构，人走火灭。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
美国芯片法案★,policy,P4/P5 population_group_to_national_population,T2/T3/T4/T5 short_to_century,格3->格3内退化,点着了，在退化,真实,第4步跑通后退化,利益驱动不是认同驱动，提议者变更后应约者滑向消极。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
华为员工持股,company,P3 organization,T3/T4 yearly_to_decadal,格1,点对了,真实,第5步跑通,员工可离职，认同建在这是我的公司上。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
丰田生产方式,company,P3 organization,T3/T4 yearly_to_decadal,格1,点对了,真实,第5步跑通,持续改善文化让每个应约者参与方案迭代。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
奈飞文化,company,P3 organization,T3/T4 yearly_to_decadal,格1,点对了，部分消极,真实,第5步跑通,成年人文化是备方案型，你选择来，也随时可以走。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
晨星自管理,company,P3 organization,T3/T4 yearly_to_decadal,格1,点对了,真实,第5步跑通,应约者自己提议自己应约，退出权完整。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
微软文化转型,company,P3 organization,T3/T4 yearly_to_decadal,格3->格1,点歪了但转向成功,真实,第5步跑通,从无所不知到无所不学，修正事件走向。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
苹果1997回归,company,P3 organization,T3/T4 yearly_to_decadal,格3->格1,点歪了但转向成功,真实,第5步跑通,乔布斯推方案，但最终认同建在应约者用户身上。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
AOL+时代华纳,company,P3 organization,T3/T4 yearly_to_decadal,格1内退化,点不足+点歪了,真实,第3步未满足,两个事件的认同系统不兼容，合并即冲突。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
WeWork,company,P3 organization,T3/T4 yearly_to_decadal,格1,只点火不搭房,真实,第4步跑通但搭房失败,认同建了，协作系统没跟上，是秦的镜像。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
恒大,company,P3 organization,T3/T4 yearly_to_decadal,格2内退化,点歪了->被迫服从,心理,第3步未满足,推方案型事件，应约者心理退出。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
谷歌20%时间,company,P3 organization,T3/T4 yearly_to_decadal,格1内退化,提议者退化,真实,第5步跑通后退化,提议者不再维护方案，应约者滑向消极。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
安然,company,P3 organization,T3/T4 yearly_to_decadal,格2,框架衰减,象征,第3步未满足,方案是假的，事件本身不成立。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,working_hypothesis
Theranos,company,P3 organization,T3/T4 yearly_to_decadal,格1,框架边界，方案假,真实,第2步不成立,方案造假，事件没有真正启动。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,working_hypothesis
福耀美国工厂★,company,P3 organization,T3/T4 yearly_to_decadal,格2,没建,真实,第3步未满足,中方推方案，美国工人有真实退出权且不认。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
宋朝,boundary,varies,varies,out_of_scope,外力中断,n/a,n/a,系统未失灵且被外力碾碎，不是事件走向问题。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,boundary
明朝覆灭,boundary,varies,varies,out_of_scope,旧事件自然老死,n/a,n/a,王朝周期律、系统未换，没有新事件启动。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,boundary
阿兹特克,boundary,varies,varies,out_of_scope,外力碾碎,n/a,n/a,被外力碾碎，事件未启动。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,boundary
印加,boundary,varies,varies,out_of_scope,外力碾碎,n/a,n/a,被外力碾碎，事件未启动。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,boundary
印度种姓制度,boundary,varies,varies,out_of_scope,收费站型结构,n/a,n/a,只收租不提供应约价值，不是事件。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,boundary
非洲班图文明,boundary,varies,varies,out_of_scope,收费站型结构,n/a,n/a,只收租不提供应约价值，不是事件。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,boundary
