case_number,case_name,verification_marker,event_layer,participant_scale,duration_scale,condition_cell,responder_state,event_outcome,exit_layer,step_reached,working_note,evidence,related_chapter,status
11,英国光荣革命,,civilizational_population,P6 civilizational_population,T5,格3→格1,积极,点歪了但转向成功,真实,第5步跑通,贵族有真实退出权（可流亡、可拒绝纳税），从王权认同转向宪政认同,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
12,阿拔斯革命,,civilizational_population,P6 civilizational_population,T5,格1,积极,点歪了但转向成功,真实,第5步跑通,部落联盟可叛可留，认同经退出权验证但建在部分应约者身上,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
13,蒙古帝国,,civilizational_population,P6 civilizational_population,T5,格6,无人,从未点火,象征,第2步未满足,"被征服民族""可以投降""但不投降=屠城，象征退出权=暴力包装的强制服从",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
14,卡拉卡拉普发公民权,,civilizational_population,P6 civilizational_population,T5,格2,无人,点反了,象征,第3步未满足,公民权已贬值到无实质，退出权被仪式化,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
15,乌鲁卡吉纳改革,,civilizational_population,P6 civilizational_population,T4,格3,积极,点对了但被外力碾碎,真实,第4步跑通，第5步被外力中断,城邦公民可走可留，退出权真实，但被武力碾碎,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
16,米尼兹统一埃及,,civilizational_population,P6 civilizational_population,T5,格4,消极,只搭房没点火,事实,第3步部分满足,"上下埃及""可以保留信仰""但武力统一后事实上无法退出",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
17,君士坦丁基督教化,,civilizational_population,P6 civilizational_population,T5,格4,积极,点对了但稳定期不够,事实,第4步跑通，第5步部分满足,不信意味着政治边缘化，法理有退出权但事实无,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
18,笈多王朝,,civilizational_population,P6 civilizational_population,T5,格4,积极,点对了但薄,事实,第5步跑通但厚度不足,种姓制度事实上锁定社会位置，认同薄且未经验证,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
19,新中国成立,,national_population,P5 national_population,T5,格4,积极,点对了,事实,第5步跑通,计划经济+户籍事实上走不了，土地改革让农民获得实在利益,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
20,改革开放,,national_population,P5 national_population,T4,格8→格7→格3,消极→积极,点火中,事实→真实,第4步进行中,初期事实退出权，逐步漂移向真实退出权，漂移尚未完成,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
21,日本大化改新,,national_population,P5 national_population,T5,格4,积极,点对了但薄,事实,第5步跑通但厚度不足,天皇权威+律令制事实上锁定社会位置，认同薄且未经验证,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
22,日本明治维新,,national_population,P5 national_population,T4,格3→格1内退化,积极→消极,点歪了未转向,真实,第5步跑通但隐患反噬,退出权真实，但认同建在外部锚定（脱亚入欧），80年后内爆,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
23,新加坡建国,,national_population,P5 national_population,T4,格1,积极,点对了,真实,第5步跑通,"多种族居民可移民可离开，""新加坡人""认同经退出权验证",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
24,德国社会市场经济,,national_population,P5 national_population,T4,格3,积极,点对了,真实,第5步跑通,战后德国人有真实退出权，社会市场经济认同经退出权验证,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
25,法国大革命,,national_population,P5 national_population,T4,格3,消极→积极,负时间差但补回来了,真实,第4步跑通但中间负时间差,市民有真实退出权，但旧认同先拆新认同未建，拿破仑补火,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
26,戈尔巴乔夫改革,,national_population,P5 national_population,T3,格3,消极,负时间差、崩盘,真实,第3步未满足,苏联公民有真实退出权，但旧认同先拆新认同未建→崩盘,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
27,戊戌变法,,national_population,P5 national_population,T1,格3,无人,负时间差、103天崩盘,象征,第2步刚起步就被反杀,"光绪帝""可以改革""但慈禧随时可废，象征退出权遮蔽了提议者无真实权力",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
28,俄罗斯休克疗法,,national_population,P5 national_population,T3,格3→格3内退化,消极,负时间差,真实,第3步未满足,公民有真实退出权，但旧体制先拆新体制未建→寡头收割,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
29,日本战后改革,,national_population,P5 national_population,T4,格2→格1,消极→积极,点歪了但转向成功,真实,第5步跑通,"占领下日本人有真实退出权，认同从""天皇崇拜""转向""民主+经济奇迹""",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
30,彼得大帝西化,,national_population,P5 national_population,T4,格4→格2内退化,积极→消极,点不足,事实,第3步部分满足,贵族不西化=政治边缘化，农民完全无退出权，认同只点到贵族,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
31,海尔·塞拉西,,national_population,P5 national_population,T4,格2→格2内退化,积极→无人,点不足+方向错误,事实,第3步未满足,帝国事实上锁定社会位置，退出权出现后认同立刻幻灭,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
32,雅典民主改革,,national_population,P5 national_population,T5,格3→格1,积极,点对了,真实,第5步跑通,公民可流亡可拒绝参与，民主认同经退出权验证（排除了奴隶和女性）,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
33,希拉克略改革,,national_population,P5 national_population,T4,格3,消极,点反了,真实,第3步未满足,拜占庭公民有真实退出权，但拆了旧认同未建新认同,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
34,英国大宪章→光荣革命,,national_population,P5 national_population,T5,格3→格1,积极,点歪了但转向成功,真实,第5步跑通,贵族有真实退出权，从王权认同逐步转向宪政认同,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
35,罗斯福新政,,population_group,P4 population_group,T4,格3,积极,点对了,真实,第5步跑通,美国人有真实退出权，新政认同经退出权验证,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
36,中国土地改革,,population_group,P4 population_group,T4,格4,积极,点对了,事实,第5步跑通,"农民""可以不接受""但计划经济+户籍事实上走不了",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
37,韩国新村运动,,population_group,P4 population_group,T4,格4,积极,点对了,事实,第5步跑通,"农民""可以不参与""但威权体制下事实上无法退出",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
38,北欧福利国家,,population_group,P4 population_group,T5,格1,积极,点对了,真实,第5步跑通,公民有真实退出权，福利国家认同经退出权验证,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
39,美国禁酒令,,population_group,P4 population_group,T2,格1内退化,消极→无人,点歪了→无人应约,真实,第3步未满足,公民有真实退出权，应约者直接用脚投票，13年废除,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
40,中国计划生育,,population_group,P4 population_group,T4,格2,无人,框架衰减,象征,第3步未满足,超生=罚款+开除+社会压力，象征退出权=强制力的优雅版本,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
41,英国NHS,,population_group,P4 population_group,T5,格1内退化,积极→消极,点歪了但没崩,真实,第5步跑通但认同在退化,公民有真实退出权，NHS认同经退出权验证但应约者逐渐消极,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
42,洋务运动,,population_group,P4 population_group,T3,格4,消极,点不足+点歪了,象征,第2步部分满足,"清廷""可以改革""但慈禧随时可叫停，象征退出权遮蔽了提议者无真实权力",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
43,坦志麦特改革,,population_group,P4 population_group,T4,格4→格4内退化,消极→无人,点反了,象征,第3步未满足,改革拆了旧认同但新认同被象征退出权遮蔽→崩盘,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
44,亚历山大二世废奴,,population_group,P4 population_group,T4,格4→格3,消极,点不足,事实,第3步部分满足,"农奴""获得自由""但赎地成本极高事实上走不了",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
45,南非转型,,population_group,P4 population_group,T4,格1,积极（政治）/消极（经济）,点不足,真实,第4步部分跑通,政治认同经退出权验证但经济认同未建立,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
46,欧盟,,population_group,P4 population_group,T5,格1内退化,消极,点不足,真实,第4步部分跑通,成员国有真实退出权（英国脱欧=验证），但只点了经济认同,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
47,庇隆主义,,population_group,P4 population_group,T4,格2,积极,点歪了（建在个人权威）,事实,第4步跑通但脆弱,工会+国家机器事实上锁定退出通道，认同建在个人权威上,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
48,王安石变法,,population_group,P4 population_group,T3,格3,无人,点不足,象征,第3步未满足,"士大夫""可以反对""但反对=政治边缘化，象征退出权遮蔽了应约者无真实选择",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
49,凯末尔改革,,population_group,P4 population_group,T4,格4→格4内退化,积极→消极,点不足,事实,第4步部分跑通,不西化=政治边缘化，认同只点到城市精英未到农村,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
50,华为员工持股,,organization,P3 organization,T4,格1,积极,点对了,真实,第5步跑通,"员工可辞职且行业有下家，""华为人""认同经退出权验证",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
51,丰田生产方式,,organization,P3 organization,T4,格1,积极,点对了,真实,第5步跑通,"员工可辞职且行业有下家，""丰田人""认同经退出权验证",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
52,奈飞文化,,organization,P3 organization,T4,格1,积极+部分消极,点对了（部分消极应约）,真实,第5步跑通,"退出权真实，但""无限假期""等政策让部分应约者消极",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
53,晨星自管理,,organization,P3 organization,T3,格1,积极,点对了,真实,第5步跑通,员工可辞职且行业有下家，自管理认同经退出权验证,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
54,微软文化转型,,organization,P3 organization,T3,格3→格1,积极,点歪了但转向成功,真实,第5步跑通,"纳德拉用信誉点火，从""Windows优先""转向""云优先""",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
55,苹果1997回归,,organization,P3 organization,T4,格3→格1,积极,点歪了但转向成功,真实,第5步跑通,乔布斯用信誉点火，砍掉70%产品线,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
56,AOL+时代华纳,,organization,P3 organization,T3,格1内退化,消极→无人,点不足+点歪了,真实,第3步未满足,退出权真实，但文化冲突→应约者消极→无人应约,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
57,WeWork,,organization,P3 organization,T3,格1,积极,只点火不搭房,真实,第4步跑通但搭房失败,"""We家族""认同被验证但协作系统未建",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
58,恒大,,organization,P3 organization,T4,格2内退化,消极,点歪了→被迫服从,心理,第3步未满足,已购房者事实上走不了（沉没成本），身体在系统内心已撤回,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
59,谷歌20%时间,,organization,P3 organization,T4,格1内退化,积极→消极,提议者退化,真实,第5步跑通后在退化,"退出权真实，但""20%时间""从真实承诺退化为象征性口号",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
60,安然,,organization,P3 organization,T4,格2,无人,框架衰减,象征,第3步未满足,退休金绑在安然股票上走不了，象征退出权=强制力的优雅版本,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
61,Theranos,,organization,P3 organization,T3,格1,无人,框架边界（方案假）,真实,第2步不成立,退出权真实，但方案本身是假的→无人应约,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
62,宋朝,,boundary,varies,varies,out_of_scope,n/a,系统未失灵+被外力碾碎,n/a,n/a,系统未失灵+被外力碾碎,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/05-limits.md,boundary
63,明朝覆灭,,boundary,varies,varies,out_of_scope,n/a,王朝周期律、系统未换,n/a,n/a,王朝周期律、系统未换,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/05-limits.md,boundary
64,阿兹特克,,boundary,varies,varies,out_of_scope,n/a,被外力碾碎、未启动,n/a,n/a,被外力碾碎、未启动,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/05-limits.md,boundary
65,印加,,boundary,varies,varies,out_of_scope,n/a,被外力碾碎、未启动,n/a,n/a,被外力碾碎、未启动,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/05-limits.md,boundary
66,印度种姓制度,,boundary,varies,varies,out_of_scope,n/a,收费站型、未启动,n/a,n/a,收费站型、未启动,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/05-limits.md,boundary
67,非洲班图文明,,boundary,varies,varies,out_of_scope,n/a,收费站型、未启动,n/a,n/a,收费站型、未启动,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/05-limits.md,boundary
68,张居正改革,★,population_group,P4 population_group,T3,格3,消极,点歪了（建在个人权威）,象征,第4步跑通但脆弱,反对=政治边缘化，认同建在张居正个人权威上→人亡政息,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,validation_hypothesis
69,福耀美国工厂,★,organization,P3 organization,T3,格2,消极,没建,真实,第3步未满足,美国工人可辞职且行业有下家，但中美文化冲突→认同未建,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,validation_hypothesis
70,美国芯片法案,★,population_group,P4 population_group,T3,格3→格3内退化,积极→消极,点着了·在退化,真实,第4步跑通后在退化,企业和消费者有真实退出权，但认同建在外部锚定→技术优势被追平后退化,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,validation_hypothesis
71,美国国家认同危机,★,national_population,P5 national_population,T4,格1内退化,消极,点着了·在退化,真实,第5步跑通后在退化,公民有真实退出权，但认同建在部分应约者身上（政治极化）,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,validation_hypothesis
72,AI文明协议,,civilizational_population,P6 civilizational_population,T5,格5→格1漂移中,消极为主,没点着·火种还在,事实,第4步进行中,提议者从无意识变为有意识（各国政府+科技公司已主动介入），应约者事实退出权低（可以不用AI但越来越难脱离），认同锚点混乱，文明级认同方案未出现,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/04-method.md,prediction
73,以色列基布兹,,small_group,P2 small_group,T5,格1→格1内退化,积极→消极,点对了但提议者退化,真实,第5步跑通后在退化,退出权真实，但提议者退化：经济激励偏移，信息回路断裂。多数基布兹已私有化，从格1退化到事实上的格5,dianhuo/03-evidence/cases/supplement-cases-2026-06-07.md,book/03-cases.md,working_hypothesis
74,宗教改革（马丁·路德）,,civilizational_population,P6 civilizational_population,T5,格3→格1,消极→积极,点对了但负时间差,真实,第4步跑通，中间负时间差,路德=备方案，与戈尔巴乔夫对照：同一格3+同一负时间差，差异在备方案有无,dianhuo/03-evidence/cases/supplement-cases-2026-06-07.md,book/03-cases.md,working_hypothesis
75,Node.js/io.js分叉与合并,,organization,P3 organization,T2,格2→格1,消极→积极,点歪了但转向成功,真实,第5步跑通,开源社区fork=退出权的原子化行使，Node.js和io.js合并为Node基金会治理=从格2漂移到格1,dianhuo/03-evidence/cases/supplement-cases-2026-06-07.md,book/03-cases.md,working_hypothesis
76,蒙台梭利教育法,,dyad,P1 dyad,T5,格3→格1,积极,点对了,真实,第5步跑通,P1尺度上最干净的备方案案例：教师把教具备好，儿童自己决定拿什么。全球2-6万所学校沿用百年,dianhuo/03-evidence/cases/supplement-cases-2026-06-07.md,book/03-cases.md,working_hypothesis
77,心理咨询中的治疗联盟,,dyad,P1 dyad,T3,格1,积极,点对了,真实,第5步跑通,治疗师推方案（应每周来两次）vs备方案（我每周二四有时间，你来不来自己定），前者僭越后者管家,dianhuo/03-evidence/cases/supplement-cases-2026-06-07.md,book/03-cases.md,working_hypothesis
78,维基百科,,group,P4 group,T4,格5→格1,积极,点对了,真实,第5步跑通,提议者初期无意识，从格5漂移到格1。认同建在应约者身上——五支柱原则由社区自己维护,dianhuo/03-evidence/cases/supplement-cases-2026-06-07.md,book/03-cases.md,working_hypothesis
79,比特币社区,,group,P4 group,T4,格1→格1内退化,积极→分化,点歪了但没崩,真实,第5步跑通但在退化,中本聪退出后提议者角色空缺→社区分裂。多柱互撑遮蔽了退化信号,dianhuo/03-evidence/cases/supplement-cases-2026-06-07.md,book/03-cases.md,working_hypothesis
80,Linux内核社区,,organization,P3 organization,T4,格3→格3内退化,积极→部分消极,点对了但提议者退化风险,真实,第5步跑通但在退化,BDFL模式=提议者无退出权+应约者有退出权。Linus从仁慈独裁者退化为瓶颈,dianhuo/03-evidence/cases/supplement-cases-2026-06-07.md,book/03-cases.md,working_hypothesis
