source_file,function_id,function_name,reason,all_fields
1912445412092030880_点火统一函数总表20260610版_碰撞层完整更新_63条.md,D-X13,宪法硬度函数,duplicate ID,"{""函数ID"": ""D-X13"", ""函数名称"": ""宪法硬度函数""}"
1912445412092030880_点火统一函数总表20260610版_碰撞层完整更新_63条.md,D-X14,民事保护函数,duplicate ID,"{""函数ID"": ""D-X14"", ""函数名称"": ""民事保护函数""}"
1912445412092030880_点火统一函数总表20260610版_碰撞层完整更新_63条.md,D-X15,法治度函数,duplicate ID,"{""函数ID"": ""D-X15"", ""函数名称"": ""法治度函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X9,情绪信号分层函数,duplicate ID,"{""函数ID"": ""D-X9"", ""函数名称"": ""情绪信号分层函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X10,情绪稳态临界函数,duplicate ID,"{""函数ID"": ""D-X10"", ""函数名称"": ""情绪稳态临界函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X11,情绪注入ε函数,duplicate ID,"{""函数ID"": ""D-X11"", ""函数名称"": ""情绪注入ε函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X12,法条净效应函数,duplicate ID,"{""函数ID"": ""D-X12"", ""函数名称"": ""法条净效应函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X13,宪法硬度函数,duplicate ID,"{""函数ID"": ""D-X13"", ""函数名称"": ""宪法硬度函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X14,民事保护函数,duplicate ID,"{""函数ID"": ""D-X14"", ""函数名称"": ""民事保护函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X15,法治度函数,duplicate ID,"{""函数ID"": ""D-X15"", ""函数名称"": ""法治度函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X16,犹豫域双向压缩函数,duplicate ID,"{""函数ID"": ""D-X16"", ""函数名称"": ""犹豫域双向压缩函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X17,叙事冲击函数,duplicate ID,"{""函数ID"": ""D-X17"", ""函数名称"": ""叙事冲击函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X18,认知犹豫域动态压缩函数,duplicate ID,"{""函数ID"": ""D-X18"", ""函数名称"": ""认知犹豫域动态压缩函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X19,级联速度函数,duplicate ID,"{""函数ID"": ""D-X19"", ""函数名称"": ""级联速度函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X20,顽固者临界比例函数,duplicate ID,"{""函数ID"": ""D-X20"", ""函数名称"": ""顽固者临界比例函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X21,跨层犹豫域映射函数,duplicate ID,"{""函数ID"": ""D-X21"", ""函数名称"": ""跨层犹豫域映射函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X22,内部抵抗函数,duplicate ID,"{""函数ID"": ""D-X22"", ""函数名称"": ""内部抵抗函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X23,衰减率干预函数,duplicate ID,"{""函数ID"": ""D-X23"", ""函数名称"": ""衰减率干预函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X24,乘法对称变换函数,duplicate ID,"{""函数ID"": ""D-X24"", ""函数名称"": ""乘法对称变换函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X25,跨层完整退化函数,duplicate ID,"{""函数ID"": ""D-X25"", ""函数名称"": ""跨层完整退化函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X26,点火对冲函数,duplicate ID,"{""函数ID"": ""D-X26"", ""函数名称"": ""点火对冲函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X27,逆Weibull寿命验证函数,duplicate ID,"{""函数ID"": ""D-X27"", ""函数名称"": ""逆Weibull寿命验证函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X28,倒U型内部驱动力函数,duplicate ID,"{""函数ID"": ""D-X28"", ""函数名称"": ""倒U型内部驱动力函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X29,点火窗口宽度函数,duplicate ID,"{""函数ID"": ""D-X29"", ""函数名称"": ""点火窗口宽度函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X30,统一内部驱动力函数,duplicate ID,"{""函数ID"": ""D-X30"", ""函数名称"": ""统一内部驱动力函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X31,ε_eff闭环动力学函数,duplicate ID,"{""函数ID"": ""D-X31"", ""函数名称"": ""ε_eff闭环动力学函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X32,认知-群体犹豫域统一映射,duplicate ID,"{""函数ID"": ""D-X32"", ""函数名称"": ""认知-群体犹豫域统一映射""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X33,三层退化叠加函数,duplicate ID,"{""函数ID"": ""D-X33"", ""函数名称"": ""三层退化叠加函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X34,退化渗透路径函数,duplicate ID,"{""函数ID"": ""D-X34"", ""函数名称"": ""退化渗透路径函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X35,充分条件三层函数,duplicate ID,"{""函数ID"": ""D-X35"", ""函数名称"": ""充分条件三层函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X36,速度差闭合函数,duplicate ID,"{""函数ID"": ""D-X36"", ""函数名称"": ""速度差闭合函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X37,H_分类升级函数,duplicate ID,"{""函数ID"": ""D-X37"", ""函数名称"": ""H_分类升级函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X38,种子激活函数,duplicate ID,"{""函数ID"": ""D-X38"", ""函数名称"": ""种子激活函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X39,种子爆发ε_eff恢复函数,duplicate ID,"{""函数ID"": ""D-X39"", ""函数名称"": ""种子爆发ε_eff恢复函数""}"
1912447660507052208_点火统一函数总表20260610版_碰撞层完整更新_74条.md,D-X40,二次窗口判定函数,duplicate ID,"{""函数ID"": ""D-X40"", ""函数名称"": ""二次窗口判定函数""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,定投可持续性函数,empty ID or name,"{""函数名称"": ""定投可持续性函数""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,AI共震遮蔽函数,empty ID or name,"{""函数名称"": ""AI共震遮蔽函数""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,策略穷举不可能定理,empty ID or name,"{""函数名称"": ""策略穷举不可能定理""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,心智带宽溢出遮蔽,empty ID or name,"{""函数名称"": ""心智带宽溢出遮蔽""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,小资金净收益函数,empty ID or name,"{""函数名称"": ""小资金净收益函数""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,P_sustain衰减函数,empty ID or name,"{""函数名称"": ""P_sustain衰减函数""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,投资遮蔽总效应函数,empty ID or name,"{""函数名称"": ""投资遮蔽总效应函数""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,投资方式临界资金函数,empty ID or name,"{""函数名称"": ""投资方式临界资金函数""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,定投凯利保守性函数,empty ID or name,"{""函数名称"": ""定投凯利保守性函数""}"
1912493693968632056_点火定投函数碰撞统一函数总表_新发现与新增函数.md,,完整财商函数,empty ID or name,"{""函数名称"": ""完整财商函数""}"
1912502684408618896_函数化未收敛发现.md,D74,,empty ID or name,"{""函数ID"": ""D74""}"
1912502684408618896_函数化未收敛发现.md,D75,,empty ID or name,"{""函数ID"": ""D75""}"
1912502684408618896_函数化未收敛发现.md,D76,,empty ID or name,"{""函数ID"": ""D76""}"
1912502684408618896_函数化未收敛发现.md,D77,,empty ID or name,"{""函数ID"": ""D77""}"
1912502684408618896_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912502684408618896_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912502684408618896_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912502684408618896_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912502684408618896_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912503677618557768_函数化未收敛发现.md,D74,,empty ID or name,"{""函数ID"": ""D74""}"
1912503677618557768_函数化未收敛发现.md,D75,,empty ID or name,"{""函数ID"": ""D75""}"
1912503677618557768_函数化未收敛发现.md,D76,,empty ID or name,"{""函数ID"": ""D76""}"
1912503677618557768_函数化未收敛发现.md,D77,,empty ID or name,"{""函数ID"": ""D77""}"
1912503677618557768_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912503677618557768_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912503677618557768_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912503677618557768_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912503677618557768_函数化未收敛发现.md,—,,empty ID or name,"{""函数ID"": ""—""}"
1912505609279050568_点火统一函数总表 20260611版D78-D83新增_104条.md,,,empty ID or name,"{""函数类型"": ""基因""}"
1912505609279050568_点火统一函数总表 20260611版D78-D83新增_104条.md,,,empty ID or name,"{""函数类型"": ""病毒""}"
1912505609279050568_点火统一函数总表 20260611版D78-D83新增_104条.md,,,empty ID or name,"{""函数类型"": ""谣言""}"
1912505609279050568_点火统一函数总表 20260611版D78-D83新增_104条.md,,,empty ID or name,"{""函数类型"": ""技能传承""}"
1912505609279050568_点火统一函数总表 20260611版D78-D83新增_104条.md,,,empty ID or name,"{""函数类型"": ""广告/宣传""}"
1912505609279050568_点火统一函数总表 20260611版D78-D83新增_104条.md,,,empty ID or name,"{""函数类型"": ""诈骗/恐怖""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,定投可持续性,empty ID or name,"{""函数名称"": ""定投可持续性""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,AI共震遮蔽,empty ID or name,"{""函数名称"": ""AI共震遮蔽""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,策略穷举不可能,empty ID or name,"{""函数名称"": ""策略穷举不可能""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,心智带宽溢出遮蔽,empty ID or name,"{""函数名称"": ""心智带宽溢出遮蔽""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,小资金净收益,empty ID or name,"{""函数名称"": ""小资金净收益""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,P_sustain衰减,empty ID or name,"{""函数名称"": ""P_sustain衰减""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,投资遮蔽总效应,empty ID or name,"{""函数名称"": ""投资遮蔽总效应""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,临界资金函数,empty ID or name,"{""函数名称"": ""临界资金函数""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,定投凯利保守性,empty ID or name,"{""函数名称"": ""定投凯利保守性""}"
1912537897769826432_点火定投推导未收敛项函数化D143-D145_3条新增_4案例.md,,完整财商函数,empty ID or name,"{""函数名称"": ""完整财商函数""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,AI物种分化,empty ID or name,"{""函数名称"": ""AI物种分化""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,调度-执行接口效率,empty ID or name,"{""函数名称"": ""调度-执行接口效率""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,缓存比不稳定区间,empty ID or name,"{""函数名称"": ""缓存比不稳定区间""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,调度重演,empty ID or name,"{""函数名称"": ""调度重演""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,CAI编码能力,empty ID or name,"{""函数名称"": ""CAI编码能力""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,调度失效归零+跨物种同构+Shannon对接,empty ID or name,"{""函数名称"": ""调度失效归零+跨物种同构+Shannon对接""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,意图-信号分离定理,empty ID or name,"{""函数名称"": ""意图-信号分离定理""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,非对称耦合+调度同构类,empty ID or name,"{""函数名称"": ""非对称耦合+调度同构类""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,四阶段+跃迁概率,empty ID or name,"{""函数名称"": ""四阶段+跃迁概率""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,三效率冲突与策略分化,empty ID or name,"{""函数名称"": ""三效率冲突与策略分化""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,距离衰减+维护调制,empty ID or name,"{""函数名称"": ""距离衰减+维护调制""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,自举元函数层级,empty ID or name,"{""函数名称"": ""自举元函数层级""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,信息门效率统一,empty ID or name,"{""函数名称"": ""信息门效率统一""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,认知-收益+定投（含D125-D126重编号）,empty ID or name,"{""函数名称"": ""认知-收益+定投（含D125-D126重编号）""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,信息门非对称退化,empty ID or name,"{""函数名称"": ""信息门非对称退化""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,乘法临界漂移统一,empty ID or name,"{""函数名称"": ""乘法临界漂移统一""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,遮蔽-补偿-成本三角,empty ID or name,"{""函数名称"": ""遮蔽-补偿-成本三角""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,结构保守性元定理,empty ID or name,"{""函数名称"": ""结构保守性元定理""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,倒U型统一生成定理,empty ID or name,"{""函数名称"": ""倒U型统一生成定理""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,解码门槛降低,empty ID or name,"{""函数名称"": ""解码门槛降低""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,向下兼容函数,empty ID or name,"{""函数名称"": ""向下兼容函数""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,向下兼容长期损耗,empty ID or name,"{""函数名称"": ""向下兼容长期损耗""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,分层编码效率,empty ID or name,"{""函数名称"": ""分层编码效率""}"
1912539455768641264_点火统一函数总表 20260611版全量更新_155条.md,,AI中间层调度,empty ID or name,"{""函数名称"": ""AI中间层调度""}"
