source_file,case_id,case_name,reason,all_fields
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,P7,锈带式产业退出扩散,duplicate ID,"{""案例ID"": ""P7"", ""案例名称"": ""锈带式产业退出扩散"", ""事件层级"": ""L₄""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,"summary table without identifiable ID/name columns (headers: 层级,数量,编号)","L₁个人级,14,84,89,90,91,116,118,119,123,124,125,126,127,128,129,131,133,136"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,"summary table without identifiable ID/name columns (headers: 层级,数量,编号)","L₂团队级,2,74,75"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,"summary table without identifiable ID/name columns (headers: 层级,数量,编号)","L₃组织级,8,85,86,87,121,122,127,134"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,"summary table without identifiable ID/name columns (headers: 层级,数量,编号)","L₄行业级,8,79,80,81,114,130,135"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,"summary table without identifiable ID/name columns (headers: 层级,数量,编号)","L₅国家级,19,19-35,113,120"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,"summary table without identifiable ID/name columns (headers: 层级,数量,编号)","L₆文明级,20,1-18,115,117"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,"summary table without identifiable ID/name columns (headers: 层级,数量,编号)","L₇技术级,2,82,83"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,"summary table without identifiable ID/name columns (headers: 层级,数量,编号)","L₈理论级,26,92-112,132,137,138,139"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912449033822546504_点火统一案例总表20260610版_139案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₁个人级""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₂团队级""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₃组织级""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₄行业级""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₅国家级""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₆文明级""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₇技术级""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₈理论级""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912454682778585336_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₁个人级""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₂团队级""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₃组织级""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₄行业级""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₅国家级""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₆文明级""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₇技术级""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₈理论级""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912455663104342192_点火统一案例总表20260611版_150案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₁个人级""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₂团队级""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₃组织级""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₄行业级""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₅国家级""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₆文明级""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₇技术级""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₈理论级""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912456441567043464_点火统一案例总表20260611版_155案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₁个人级""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₂团队级""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₃组织级""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₄行业级""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₅国家级""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₆文明级""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₇技术级""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₈理论级""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912458823126530224_点火统一案例总表20260611版_162案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₁个人级""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₂团队级""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₃组织级""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₄行业级""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₅国家级""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₆文明级""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₇技术级""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₈理论级""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912494022530883464_点火统一案例总表20260611版_170案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₁个人级""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₂团队级""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₃组织级""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₄行业级""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₅国家级""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₆文明级""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₇技术级""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₈理论级""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912494993193617656_点火统一案例总表20260611版_174案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₁个人级""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₂团队级""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₃组织级""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₄行业级""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₅国家级""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₆文明级""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₇技术级""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""事件层级"": ""L₈理论级""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·活着""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·在退化""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""状态"": ""点着了·灭了""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种还在""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""状态"": ""没点着·火种也没了""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""状态"": ""从未点火""}"
1912496771310621512_点火统一案例总表20260611版_180案例完整版.md,,,empty ID or name,"{""状态"": ""其他/未标注""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,周公制礼,empty ID or name,"{""案例名称"": ""周公制礼"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,孔子作春秋,empty ID or name,"{""案例名称"": ""孔子作春秋"", ""状态"": ""没点着·火种还在""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,秦统一,empty ID or name,"{""案例名称"": ""秦统一"", ""状态"": ""没点着·火种还在""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,孝文帝汉化,empty ID or name,"{""案例名称"": ""孝文帝汉化"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,唐朝开放,empty ID or name,"{""案例名称"": ""唐朝开放"", ""状态"": ""点着了·活着（转向后）""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,元朝,empty ID or name,"{""案例名称"": ""元朝"", ""状态"": ""没点着·火种也没了""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,明朝,empty ID or name,"{""案例名称"": ""明朝"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,清朝,empty ID or name,"{""案例名称"": ""清朝"", ""状态"": ""点着了·活着（转向后）""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,日本明治,empty ID or name,"{""案例名称"": ""日本明治"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,苏联,empty ID or name,"{""案例名称"": ""苏联"", ""状态"": ""没点着·火种也没了""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,美国独立,empty ID or name,"{""案例名称"": ""美国独立"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,法国大革命,empty ID or name,"{""案例名称"": ""法国大革命"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,印度独立,empty ID or name,"{""案例名称"": ""印度独立"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,南非转型,empty ID or name,"{""案例名称"": ""南非转型"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,以色列建国,empty ID or name,"{""案例名称"": ""以色列建国"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,伊斯兰扩张,empty ID or name,"{""案例名称"": ""伊斯兰扩张"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,文艺复兴,empty ID or name,"{""案例名称"": ""文艺复兴"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,启蒙运动,empty ID or name,"{""案例名称"": ""启蒙运动"", ""状态"": ""点着了·活着""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,安然,empty ID or name,"{""案例名称"": ""安然""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,AOL+时代华纳,empty ID or name,"{""案例名称"": ""AOL+时代华纳""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,福耀美国工厂,empty ID or name,"{""案例名称"": ""福耀美国工厂""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,谷歌,empty ID or name,"{""案例名称"": ""谷歌""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,NHS,empty ID or name,"{""案例名称"": ""NHS""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,海尔·塞拉西,empty ID or name,"{""案例名称"": ""海尔·塞拉西""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,彼得大帝西化,empty ID or name,"{""案例名称"": ""彼得大帝西化""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,计划生育,empty ID or name,"{""案例名称"": ""计划生育""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,新加坡,empty ID or name,"{""案例名称"": ""新加坡""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,韩国发展,empty ID or name,"{""案例名称"": ""韩国发展""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,台湾转型,empty ID or name,"{""案例名称"": ""台湾转型""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,阿拉伯之春,empty ID or name,"{""案例名称"": ""阿拉伯之春""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,柏林墙,empty ID or name,"{""案例名称"": ""柏林墙""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,梵蒂冈,empty ID or name,"{""案例名称"": ""梵蒂冈""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,维基百科,empty ID or name,"{""案例名称"": ""维基百科""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,Linux,empty ID or name,"{""案例名称"": ""Linux""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,特斯拉,empty ID or name,"{""案例名称"": ""特斯拉""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,华为,empty ID or name,"{""案例名称"": ""华为""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,微软,empty ID or name,"{""案例名称"": ""微软""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,苹果,empty ID or name,"{""案例名称"": ""苹果""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,脸书,empty ID or name,"{""案例名称"": ""脸书""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,亚马逊,empty ID or name,"{""案例名称"": ""亚马逊""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,比特币,empty ID or name,"{""案例名称"": ""比特币""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,以太坊,empty ID or name,"{""案例名称"": ""以太坊""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,DAO,empty ID or name,"{""案例名称"": ""DAO""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,NFT,empty ID or name,"{""案例名称"": ""NFT""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,Uber,empty ID or name,"{""案例名称"": ""Uber""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,Airbnb,empty ID or name,"{""案例名称"": ""Airbnb""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,TikTok,empty ID or name,"{""案例名称"": ""TikTok""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,ChatGPT,empty ID or name,"{""案例名称"": ""ChatGPT""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,婚姻退出权,empty ID or name,"{""案例名称"": ""婚姻退出权""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,职场退出权,empty ID or name,"{""案例名称"": ""职场退出权""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,宗教退出,empty ID or name,"{""案例名称"": ""宗教退出""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,移民,empty ID or name,"{""案例名称"": ""移民""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,创业,empty ID or name,"{""案例名称"": ""创业""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,学术自由,empty ID or name,"{""案例名称"": ""学术自由""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,言论自由,empty ID or name,"{""案例名称"": ""言论自由""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,信息茧房,empty ID or name,"{""案例名称"": ""信息茧房""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,沉没成本,empty ID or name,"{""案例名称"": ""沉没成本""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,身份危机,empty ID or name,"{""案例名称"": ""身份危机""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,中年危机,empty ID or name,"{""案例名称"": ""中年危机""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,空巢,empty ID or name,"{""案例名称"": ""空巢""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,退休,empty ID or name,"{""案例名称"": ""退休""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,离婚,empty ID or name,"{""案例名称"": ""离婚""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,破产,empty ID or name,"{""案例名称"": ""破产""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,抑郁症,empty ID or name,"{""案例名称"": ""抑郁症""}"
1912514784403955832_点火统一案例总表 20260611版全量更新_192案例.md,,成瘾,empty ID or name,"{""案例名称"": ""成瘾""}"
